Team1Name,Team1Score,Team2Name,Team2Score,Team1MasseyRating,Team2MasseyRating
Mississippi,83,Memphis,77,10.46160439503338,7.369641932350132
Montana,102,UNLV,93,0.4272721445912008,3.1267531403743414
Mt St Mary's,74,St Francis PA,66,-11.970313880036324,-18.95162660287704
N Dakota St,90,CS Northridge,68,2.046795939331589,-2.1109082342198446
Nebraska,69,MD E Shore,50,23.21892114201473,-15.28346349833095
New Mexico,82,UC Riverside,68,14.880097023188116,-8.761132749466462
NJIT,66,Loyola MD,64,-14.80646949052454,-13.377750243521636
North Carolina,89,Radford,74,20.177147542199364,-6.409728237299939
Northeastern,77,Harvard,60,-6.463460575559628,-1.9259472947129983
Notre Dame,78,E Illinois,58,10.06327913551909,-12.380585287610003
Ohio St,75,Appalachian St,53,16.95643641170654,-3.019964221943779
Oklahoma,95,Ark Pine Bluff,69,11.432263406894199,-13.668354319462967
Old Dominion,60,Norfolk St,57,-8.261680554358493,-13.021484758554106
Penn St,80,Navy,71,5.083955436049424,-2.05716253834581
Princeton,73,Bucknell,63,-5.435545860544262,-13.096288524993339
Providence,106,Penn,81,11.241342833123284,-2.0570696017200927
Rhode Island,80,Stonehill,57,4.372881568912538,-13.871167902361144
Richmond,90,William & Mary,86,3.374354993392689,1.656572728906202
UC Santa Barbara,92,CS Sacramento,87,3.2846658019866024,-6.393255168038442
SF Austin,81,Rice,69,6.14950134383293,-4.818057589699624
SMU,102,Murray St,91,18.858138555743015,7.098433930540837
St Mary's CA,90,Ohio,60,16.908220628065287,-2.458559640908652
Temple,90,La Salle,63,1.6101601066860876,-4.388475820600071
Toledo,81,Wright St,71,0.3389247220623984,1.3021861730347852
Tulane,66,Louisiana,62,-1.5078676189201856,-12.137067018502796
UCF,97,Florida A&M,60,15.06572674394935,-14.958411699952181
UMBC,81,Morgan St,79,-8.519516689602433,-20.00282080703169
UNC Asheville,69,Lipscomb,64,-4.515129557592766,-2.2704298007365584
Villanova,94,Sacred Heart,60,18.019965533374403,-10.913977813629936
Virginia,91,Hampton,53,20.91879714221833,-8.456384002540549
Wisconsin,86,Ball St,55,16.984647164159234,-11.502717502859307
Wyoming,79,Austin Peay,65,8.357185218844622,-0.6575938360595827
Yale,97,Quinnipiac,60,8.176250244240705,-3.997091735107692
North Alabama,87,Northwestern LA,83,-15.019555502687506,-9.19667857822737
Tarleton St,76,Merrimack,62,-2.827342432024417,-5.674283720960461
Boston Univ,90,Brown,77,-9.831287835150842,-9.277418865214003
Bryant,82,Dartmouth,75,-15.975655117989465,-5.458928015720884
Canisius,58,Mercyhurst,55,-17.060558122515523,-9.513220387331831
Colorado St,93,Cal Poly,79,8.035917066741126,-6.316796372758351
ETSU,75,N Kentucky,63,1.9085058569619273,-2.4537270857196694
G Washington,107,American Univ,67,9.857746736889899,-6.396969179237704
Georgetown,83,Binghamton,70,8.097403188054626,-21.707046613042007
Hawaii,88,MS Valley St,56,8.020968123203241,-28.348205063722833
