year,conf,WTeamName,WScore,LTeamName,LScore
2023,ACC,Florida_St,38,Duke,20
2023,ACC,Boston_College,38,Georgia_Tech,23
2023,ACC,Miami_FL,28,Clemson,20
2023,ACC,Virginia,31,North_Carolina,27
2023,ACC,Wake_Forest,21,Pittsburgh,17
2023,ACC,Virginia_Tech,38,Syracuse,10
2023,ACC,Georgia_Tech,46,North_Carolina,42
2023,ACC,Louisville,23,Duke,0
2023,ACC,Miami_FL,29,Virginia,26
2023,ACC,NC_State,24,Clemson,17
2023,ACC,Florida_St,41,Wake_Forest,16
2023,ACC,Duke,24,Wake_Forest,21
2023,ACC,Boston_College,17,Syracuse,10
2023,ACC,Louisville,34,Virginia_Tech,3
2023,ACC,NC_State,20,Miami_FL,6
2023,ACC,Florida_St,24,Pittsburgh,7
2023,ACC,Georgia_Tech,45,Virginia,17
2023,ACC,Louisville,31,Virginia,24
2023,ACC,Virginia_Tech,48,Boston_College,22
2023,ACC,Clemson,42,Georgia_Tech,21
2023,ACC,Florida_St,27,Miami_FL,20
2023,ACC,North_Carolina,47,Duke,45
2023,ACC,Syracuse,28,Pittsburgh,13
2023,ACC,NC_State,26,Wake_Forest,6
2023,ACC,Pittsburgh,24,Boston_College,16
2023,ACC,Clemson,31,North_Carolina,20
2023,ACC,Georgia_Tech,31,Syracuse,22
2023,ACC,Louisville,38,Miami_FL,31
2023,ACC,Virginia,30,Duke,27
2023,ACC,NC_State,35,Virginia_Tech,28
2023,ACC,Miami_FL,45,Boston_College,20
2023,ACC,Duke,30,Pittsburgh,19
2023,ACC,NC_State,39,North_Carolina,20
2023,ACC,Syracuse,35,Wake_Forest,31
2023,ACC,Virginia_Tech,55,Virginia,17
2023,ACC,Florida_St,16,Louisville,6
2023,B1G,Minnesota,13,Nebraska,10
2023,B1G,Ohio_St,23,Indiana,3
2023,B1G,Rutgers,24,Northwestern,7
2023,B1G,Penn_St,30,Illinois,13
2023,B1G,Wisconsin,38,Purdue,17
2023,B1G,Michigan,31,Rutgers,7
2023,B1G,Maryland,31,Michigan_St,9
2023,B1G,Penn_St,31,Iowa,0
2023,B1G,Northwestern,37,Minnesota,34
2023,B1G,Maryland,44,Indiana,17
2023,B1G,Purdue,44,Illinois,19
2023,B1G,Iowa,26,Michigan_St,16
2023,B1G,Michigan,45,Nebraska,7
2023,B1G,Penn_St,41,Northwestern,13
2023,B1G,Nebraska,20,Illinois,7
2023,B1G,Ohio_St,37,Maryland,17
2023,B1G,Iowa,20,Purdue,14
2023,B1G,Michigan,52,Minnesota,10
2023,B1G,Wisconsin,24,Rutgers,13
2023,B1G,Illinois,27,Maryland,24
2023,B1G,Michigan,52,Indiana,7
2023,B1G,Ohio_St,41,Purdue,7
2023,B1G,Rutgers,27,Michigan_St,24
2023,B1G,Iowa,15,Wisconsin,6
2023,B1G,Rutgers,31,Indiana,14
2023,B1G,Michigan,49,Michigan_St,0
2023,B1G,Ohio_St,20,Penn_St,12
2023,B1G,Wisconsin,25,Illinois,21
2023,B1G,Minnesota,12,Iowa,10
2023,B1G,Nebraska,17,Northwestern,9
2023,B1G,Penn_St,33,Indiana,24
2023,B1G,Minnesota,27,Michigan_St,12
2023,B1G,Nebraska,31,Purdue,14
2023,B1G,Northwestern,33,Maryland,27
2023,B1G,Ohio_St,24,Wisconsin,10
2023,B1G,Indiana,20,Wisconsin,14
2023,B1G,Penn_St,51,Maryland,15
2023,B1G,Michigan,41,Purdue,13
2023,B1G,Michigan_St,20,Nebraska,17
2023,B1G,Ohio_St,35,Rutgers,16
2023,B1G,Illinois,27,Minnesota,26
2023,B1G,Iowa,10,Northwestern,7
2023,B1G,Ohio_St,38,Michigan_St,3
2023,B1G,Michigan,24,Penn_St,15
2023,B1G,Purdue,49,Minnesota,30
2023,B1G,Illinois,48,Indiana,45
2023,B1G,Iowa,22,Rutgers,0
2023,B1G,Maryland,13,Nebraska,10
